SMILES,Name,ChEMBL_ID,Assay_ChEMBL_ID,Permeability_Value,Original_Units,Permeability
CNc1nc(NCC2CCNCC2)c2cc(-c3ccccc3)ccc2n1,,CHEMBL5409069,CHEMBL5393142,1.6,10^-6 cm/s,1
CO[C@@H]1CCN(c2nccc(Nc3cc4c(C(C)C)ccc(N5C[C@H](CS(C)(=O)=O)[C@H]5C)c4cn3)n2)C[C@@H]1F,BLU-945,CHEMBL5095169,CHEMBL5141221,8.0,10^-6 cm/s,1
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,AMPRENAVIR,CHEMBL116,CHEMBL3119124,2.7e-06,nm/s,0
CCCC(=O)O[C@@H]1CC[C@]2(C)[C@H]3CC[C@@H]4[C@H]5[C@H](C(C)C)CC[C@]5(C(=O)O)CC[C@@]4(C)[C@]3(C)CC[C@H]2C1(C)C,,CHEMBL4873587,CHEMBL4839240,0.0,10^-6 cm/s,0
O=C(O)CC1OC(=O)N(CC(=O)NCC2CCC(Nc3nc4ccccc4[nH]3)CC2)c2ccccc21,,CHEMBL256672,CHEMBL949298,3.23,10^-6 cm/s,1
Cc1cc(=O)c2c(OCCO)ncc(Cl)c2n1-c1c(Cl)cccc1Cl,,CHEMBL5287217,CHEMBL5255858,32.6,10^-6 cm/s,1
CN(C)C(=O)c1c(N)ccc(-c2cnc3c(c2Cl)[C@]2(CC[C@@]4(CCCCNC4=O)C2)CN3)c1F,,CHEMBL5081453,CHEMBL5041811,6.5,10^-6 cm/s,1
COc1c(NC(=O)c2ccc(C)c(N3C=C(C(=O)NCC(C)(C)O)NN3)c2)cc(C(C)(C)C)cc1NS(C)(=O)=O,,CHEMBL403454,CHEMBL927883,7.4,10^-6 cm/s,1
CC[C@@H](C)[C@H](S)C(=O)N[C@@H](Cc1ccccc1-c1ccccc1)C(=O)O,,CHEMBL398545,CHEMBL928322,5e-07,nm/s,0
N=C(N)Nc1cc(NC(=O)CCCNC(=O)C23CC4CC(CC(C4)C2)C3)cc(C(=O)NCC(=O)NC[C@H](NC(=O)[C@@H]2CCCN2S(=O)(=O)c2ccccc2)C(=O)O)c1,,CHEMBL4778229,CHEMBL4703094,0.27,10^-6 cm/s,1
Cn1c(=O)[nH]c2cc(N3C(=O)c4cccc5c(CCCO)ccc(c45)C3=O)ccc21,,CHEMBL4067538,CHEMBL4051599,2.4999999999999998e-06,nm/s,0
COc1cccc(C(=O)NC2CC3CCC(C2)N3c2ccc(C(N)=O)cn2)c1C,,CHEMBL2204508,CHEMBL2210285,1.33e-05,nm/s,1
CC(C)NCC(O)COc1cccc2ccccc12,PROPRANOLOL,CHEMBL27,CHEMBL927015,10.0,10^-6 cm/s,1
O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1,FILGOTINIB,CHEMBL3301607,CHEMBL5154510,0.28,10^-6 cm/s,1
COc1cc2c(cc1OC)[C@H](Cc1c[nH]c3ccccc13)N(C=O)CC2,,CHEMBL4466435,CHEMBL4819559,21.73,10^-6 cm/s,1
O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(N2CC[C@@H](O)C2)c(-c2cc[nH]n2)c1,ASCIMINIB,CHEMBL4208229,CHEMBL5133949,2.29,10^-6 cm/s,1
O=c1cc(N2CCOCC2)nc(Cc2nc3c(-c4ccccc4)cccc3o2)[nH]1,,CHEMBL2064411,CHEMBL2067911,3.1e-05,nm/s,1
CC(=O)N1N=C(c2ccc(-c3ccccc3)cc2)CC1c1ccccc1,,CHEMBL5169783,CHEMBL5107918,9.15,10^-6 cm/s,1
Cc1cc2ncccc2cc1Nc1ncc2c(n1)n(C1CCNCC1)c(=O)n2C,,CHEMBL5192430,CHEMBL5142870,0.7,10^-6 cm/s,1
Cc1cccc(NC(=O)Cc2nc(N3CCOCC3)cc(=O)[nH]2)c1,,CHEMBL2151919,CHEMBL2156794,1.4e-06,nm/s,0
NC(=O)c1sc(N2CCOCC2)nc1CC(=O)N1CCc2ccccc21,,CHEMBL3125385,CHEMBL3131470,1.6e-05,nm/s,1
CCCC[C@]1(CC)CS(=O)(=O)c2cc(CN[C@H](CC(=O)O)C(=O)O)c(OC)cc2[C@@H](c2ccccc2)N1,,CHEMBL2387402,CHEMBL2388856,7e-07,nm/s,0
C[C@H](c1ccnc(Nc2nc3ccc(-c4cc(N(C)C)ncn4)cc3[nH]2)c1)N1CCN(C(=O)CC(F)(F)F)CC1,BAY-985,CHEMBL4537673,CHEMBL4380529,1.4599999999999999e-05,nm/s,1
Cl.Fc1cc(-c2nc3cc(C4=NCCN4)ccc3[nH]2)ccc1OCc1ccccn1,,CHEMBL4745042,CHEMBL4710749,0.2,10^-6 cm/s,1
O=[N+]([O-])/N=C1\NCCN1Cc1ccc(Cl)nc1,IMIDACLOPRID,CHEMBL406819,CHEMBL905613,5.21,10^-6 cm/s,1
Cc1ccc(-c2cc3c(c(F)n2)Oc2ccc(-c4cccnc4F)cc2[C@@]32COC(N)=N2)cn1,,CHEMBL3394213,CHEMBL3396461,1.6899999999999997e-06,nm/s,0
Cc1c(Nc2ncc3ccc(-c4ccn[nH]4)cc3n2)cnn1C1CCOCC1,,CHEMBL5073735,CHEMBL5044132,28.0,10^-6 cm/s,1
COc1cccc2c1CCN2C(=O)Cc1nc(N2CCOCC2)cc(=O)[nH]1,,CHEMBL3112852,CHEMBL3119741,6e-07,nm/s,0
Cl.O=C(COc1ccc(-c2nc3cc(C4=NCCN4)ccc3[nH]2)cc1F)c1ccccc1,,CHEMBL4743864,CHEMBL4710749,0.09000000000000001,10^-6 cm/s,1
CC(C)(O)c1cccc(CN[C@H]2CS(=O)(=O)C[C@@H](Cc3cc(F)c(N)c(OC(C(F)(F)F)C(F)(F)F)c3)[C@@H]2O)c1,,CHEMBL2048058,CHEMBL2049564,1.1e-05,nm/s,1
Cn1nc(C(=O)OCCCCNC[C@H](O)c2ccc(O)c3[nH]c(=O)ccc23)cc1COc1cccc([C@@H](NC(=O)O[C@H]2CN3CCC2CC3)c2ccccc2)c1,,CHEMBL5172865,CHEMBL5129811,2.4,10^-6 cm/s,1
O=[N+]([O-])c1cn2c(n1)SC(COCc1ccc(OCc3ccccc3)cc1)C2,,CHEMBL4211261,CHEMBL4182346,5.8299999999999994e-05,nm/s,1
CCn1c(Cc2nc(N3CCOCC3)cc(=O)[nH]2)nc2ccccc21,,CHEMBL2064340,CHEMBL2067911,5e-07,nm/s,0
Cc1csc([C@@]2(CN)[C@@H]3CN(c4cnc5c(-c6ccc7nn(C)cc7c6Cl)n[nH]c5n4)C[C@@H]32)n1,,CHEMBL5290261,CHEMBL5260336,9.2,10^-6 cm/s,1
CN(Cc1ccccc1)C(=O)[C@@H](NC(=O)c1cc2cc(NC(=O)c3ccccc3-c3ccc(C(F)(F)F)cc3)ccc2n1C)c1ccccc1,DIRLOTAPIDE,CHEMBL410414,CHEMBL897206,0.9,10^-6 cm/s,1
COc1ncc(-c2cc3c(c(OCCN4CCC(C(C)(C)O)CC4)c2)COC3)cc1NS(C)(=O)=O,,CHEMBL4556087,CHEMBL4325274,3.9e-06,nm/s,0
Cc1cc2ccc(Cn3c(C(=O)N(C)c4ccccc4)cccc3=O)cc2nc1N,,CHEMBL5175731,CHEMBL5130636,12.0,10^-6 cm/s,1
CSCC[C@H](NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](N)CCCNC(=N)N)C(C)C)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCC(=O)O)C(=O)O)C(C)C,,CHEMBL5274172,CHEMBL5258488,2e-08,nm/s,0
CCn1c(=O)[nH]c(=O)c2c1nc(Cc1nc3cc4c(cc3[nH]1)OCO4)n2Cc1ccccc1,,CHEMBL5191481,CHEMBL5141815,79.7,10^-6 cm/s,1
CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@H]1CC(C)(C)Oc2ccc(OC(C)(C)C)cc21,,CHEMBL2408759,CHEMBL2410945,1.1e-06,nm/s,0
O=C(Nc1cn[nH]c1)c1cc(C(=O)c2c(Cl)ccc(Cl)c2F)c[nH]1,,CHEMBL5171050,CHEMBL5166088,5.6,10^-6 cm/s,1
C[C@]1(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)N=C(N)CO[C@@H]1F,,CHEMBL3634340,CHEMBL3635353,1.67e-05,nm/s,1
Cn1cc(-c2nc3c(-c4ccc5c(c4)CCC[C@H]5NC(=O)c4nc(C(C)(C)C)no4)ccnc3[nH]2)cn1,,CHEMBL4859888,CHEMBL4822451,1.0,10^-6 cm/s,1
Cn1cc(-c2ccc(CNc3cc(-c4cnc5cc(OCCN6CCn7nncc7C6)ccn45)ncn3)cc2)cn1,,CHEMBL5398919,CHEMBL5381738,7.6,10^-6 cm/s,1
CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](OC(=O)NCC(=O)O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C,,CHEMBL391337,CHEMBL896322,0.09,10^-6 cm/s,1
C[C@H]1O[C@@H](S[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(-c4cccc(F)c4)nn3)[C@H]2O)[C@H](O)[C@@H](n2cc(-c3cccc(F)c3)nn2)[C@H]1O,,CHEMBL5181494,CHEMBL5111947,0.07,10^-6 cm/s,1
CC(C)n1c(/C=C/C(O)CC(O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,FLUVASTATIN,CHEMBL2220442,CHEMBL4702822,11.0,10^-6 cm/s,1
O=[N+]([O-])/N=C1\NCCN1Cc1ccc(Cl)nc1,IMIDACLOPRID,CHEMBL406819,CHEMBL905612,4.52,10^-6 cm/s,1
O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCC#Cc1ccc(-c3ccc(C(F)(F)F)cc3)cn1)C2,,CHEMBL1836445,CHEMBL4182346,3.5e-06,nm/s,0
COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6CC6)C[C@H]5/C=C\CCCCN(C)C(=O)[C@@H]4C3)cc(-c3cccc(C(C)C)n3)nc2c1C,,CHEMBL507892,CHEMBL972559,12.0,cm/s,1
O=C(O)Cc1ccc(O)cc1Nc1c(Cl)cccc1Cl,,CHEMBL5175277,CHEMBL5166506,2.71e-06,nm/s,0
Cn1cc(NC(=O)c2cnn3cccnc23)c(-c2cc(Cl)ccc2Cl)n1,,CHEMBL2178799,CHEMBL4666927,20.0,10^-6 cm/s,1
Cc1[nH]nc(-c2ccncc2)c1-c1ccc(-c2cccc(S(N)(=O)=O)c2)cc1,,CHEMBL5196289,CHEMBL5136375,38.9,10^-6 cm/s,1
CC(C)C[C@H](NC(=O)[C@@H](O)[C@H](N)Cc1ccccc1)C(=O)NCCOCCOCCOc1ccc2nc(/N=N/c3ccc(N(C)C)cc3)sc2c1,,CHEMBL4208207,CHEMBL5042337,0.196,10^-6 cm/s,1
CC(C)(C)c1cccc(CN[C@H]2CS(=O)(=O)C[C@@H](Cc3ccc(N)c(Br)c3)[C@@H]2O)c1,,CHEMBL2047890,CHEMBL2049564,1.3e-05,nm/s,1
CC(C)(C)CC[C@H](NC(=O)c1cc(Cl)cc(Cl)c1)C(=O)O,,CHEMBL4741088,CHEMBL4669371,23.0,10^-6 cm/s,1
O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,CHLORAMPHENICOL,CHEMBL130,CHEMBL5159087,3.39,10^-6 cm/s,1
COc1ccc(Cn2nc(C(=O)Nc3ccc(F)c(C(=O)N[C@H]4C[C@H](N5CCOCC5)C4)c3)ccc2=O)cc1F,,CHEMBL5400082,CHEMBL5352355,2.8199999999999998e-05,nm/s,1
COc1cccc([C@@H](C)NC(=O)N2CC[C@H](c3ccncc3)C[C@@H]2C)c1,,CHEMBL5171976,CHEMBL5136857,6.24e-05,nm/s,1
Cc1ccc(-c2cc(C(F)(F)F)ccc2[C@H]2CCOc3cc(S(=O)(=O)Nc4ncccn4)ccc32)cn1,,CHEMBL4649472,CHEMBL4629741,3.95e-05,nm/s,1
NC(=O)CN1C(=O)C(NC(=O)c2cc3cc(Cl)sc3[nH]2)Cc2ccccc21,,CHEMBL395955,CHEMBL889960,12.0,10^-6 cm/s,1
CS(=O)(=O)CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,,CHEMBL2148044,CHEMBL2150613,5.2e-07,nm/s,0
CN(C)CCc1ccc(-c2nc(N)nc3ccccc23)cc1,,CHEMBL4799076,CHEMBL4673820,34.0,10^-6 cm/s,1
